slug,name,aliases,strain_type,lineage,dominant_terpene,aroma_notes,flavor_notes,terpenes,dominant_cannabinoid,potency_note,bud_structure,origin,summary,sources,confidence
island sweet skunk,Island Sweet Skunk,sweet island skunk|iss,sativa,Skunk 1,myrcene,citrus|tropical|skunk|sweet,citrus|tropical|skunk,myrcene|caryophyllene|limonene,thc,some phenos higher CBD,tall,"British Columbia, Canada",An energizing Canadian sativa famous for a tangy citrus-and-tropical aroma; some phenotypes carry more CBD.,leafly,0.82
acdc,ACDC,acdc cbd,sativa,Cannatonic phenotype,myrcene,earthy|woody|sweet|pine,earthy|woody|sweet,myrcene|pinene|caryophyllene,cbd,low-THC / high-CBD,fluffy,United States,A famous high-CBD sativa phenotype of Cannatonic with a very low THC level and earthy-woody notes.,leafly|wikileaf,0.9
charlotte's web,Charlotte's Web,charlottes web|cw,hybrid,high-CBD hemp lineage,myrcene,earthy|pine|floral,earthy|pine|sweet,myrcene|pinene|caryophyllene,cbd,very low THC / high CBD,fluffy,"Colorado, United States","A landmark high-CBD, very-low-THC cultivar with earthy, piney notes.",leafly|wikileaf,0.9
harlequin,Harlequin,,sativa,Colombian Gold x Thai x Swiss landrace,myrcene,earthy|mango|sweet|woody,earthy|mango|sweet,myrcene|pinene|caryophyllene,cbd,high-CBD (often ~5:2 CBD:THC),fluffy,United States,A reliably high-CBD sativa with earthy mango and sweet notes; popular for balanced ratios.,leafly|wikileaf,0.88
cannatonic,Cannatonic,,hybrid,MK Ultra x G13 Haze,myrcene,earthy|citrus|sweet,earthy|citrus|sweet,myrcene|pinene|caryophyllene,cbd,high-CBD / low-to-moderate THC,dense,Spain,A foundational high-CBD hybrid (parent of ACDC) with earthy-citrus notes and a mellow profile.,leafly|wikileaf,0.88
harle-tsu,Harle-Tsu,harle tsu|harletsu,hybrid,Harlequin x Sour Tsunami,myrcene,earthy|sweet|woody,earthy|sweet|woody,myrcene|pinene|caryophyllene,cbd,very high CBD / very low THC,dense,United States,A very-high-CBD hybrid bred from Harlequin and Sour Tsunami.,leafly|seedfinder,0.85
sour tsunami,Sour Tsunami,,hybrid,Sour Diesel x NYC Diesel,myrcene,diesel|earthy|sweet,diesel|earthy|sweet,myrcene|caryophyllene|pinene,cbd,high-CBD,dense,United States,"One of the first strains bred specifically for high CBD, with a mild sweet-diesel aroma.",leafly|seedfinder,0.85
ringo's gift,Ringo's Gift,ringos gift,hybrid,ACDC x Harle-Tsu,myrcene,earthy|herbal|woody,earthy|herbal|woody,myrcene|pinene|caryophyllene,cbd,very high CBD,fluffy,United States,"A very-high-CBD hybrid averaging high CBD:THC ratios, with herbal-earthy notes.",leafly|seedfinder,0.82
pennywise,Pennywise,,indica,Harlequin x Jack the Ripper,myrcene,earthy|coffee|pepper|lemon,coffee|earthy|pepper,myrcene|caryophyllene|pinene,balanced,often ~1:1 CBD:THC,dense,United States,An indica with a roughly balanced CBD:THC ratio and earthy coffee-pepper notes.,leafly|wikileaf,0.85
stephen hawking kush,Stephen Hawking Kush,shk,indica,Harle-Tsu x Sin City Kush,myrcene,berry|earthy|mint|cherry,berry|mint|cherry,myrcene|caryophyllene|pinene,balanced,often balanced CBD:THC,dense,United States,"A balanced-ratio indica with sweet berry, cherry, and mint notes.",leafly|seedfinder,0.8
new glue,New Glue,gg5|gorilla glue #5|glue 5,hybrid,Gorilla Glue #4 phenotype,caryophyllene,earthy|diesel|pine|pungent,earthy|diesel|pine,caryophyllene|limonene|myrcene,thc,typically very high THC,dense,United States,"A Gorilla Glue #4 selection (renamed for trademark reasons) with the same earthy, diesel-pine profile.",leafly|seedfinder,0.82
cherry og,Cherry OG,cherries og|cherry's og|cherrys og|cherries|cherry og kush,hybrid,Lost Coast OG x Cherry Thai x Afghani,myrcene,cherry|sweet|earthy|diesel,cherry|sweet|earthy,myrcene|caryophyllene|limonene,thc,typically high THC,dense,United States,"A sweet, cherry-forward hybrid with an earthy-diesel backbone; appears under several spelling variants.",leafly|wikileaf,0.85
cherry ak,Cherry AK,cherry ak-47|cherry ak47,sativa,Cherry x AK-47,caryophyllene,cherry|sweet|skunky|earthy,cherry|sweet|skunk,caryophyllene|myrcene|limonene,thc,typically high THC,dense,United States,"A cherry-sweet, skunky sativa-leaning cross of Cherry and AK-47.",leafly|seedfinder,0.8
blueberry muffin,Blueberry Muffin,blueberry muffins,hybrid,Blueberry x Purple Panty Dropper,myrcene,blueberry|muffin|sweet|baked,blueberry|sweet|creamy,myrcene|caryophyllene|pinene,thc,typically high THC,dense,United States,"A dessert hybrid that smells like fresh blueberry muffins, sweet and baked.",leafly|seedfinder,0.82
blue cheese,Blue Cheese,bluecheese|blue cheese kush,indica,Blueberry x UK Cheese,myrcene,blueberry|cheese|funky|sweet,blueberry|cheese|savory,myrcene|caryophyllene|pinene,thc,typically high THC,dense,United Kingdom,A savory-sweet indica marrying Blueberry's berry notes with UK Cheese funk.,leafly|wikileaf,0.88
blueberry headband,Blueberry Headband,,hybrid,Blueberry x Headband,myrcene,blueberry|diesel|sweet|earthy,blueberry|diesel|sweet,myrcene|caryophyllene|limonene,thc,typically high THC,dense,United States,A cross pairing sweet blueberry with the lemon-diesel of Headband.,leafly|seedfinder,0.8
berry white,Berry White,,indica,Blueberry x White Widow,myrcene,berry|sweet|earthy|floral,berry|sweet|earthy,myrcene|caryophyllene|pinene,thc,typically high THC,frosty,United States,A frosty indica crossing Blueberry and White Widow for sweet berry and earthy notes.,leafly|wikileaf,0.82
thin mint gsc,Thin Mint GSC,thin mints|thin mint cookies|gsc thin mint,hybrid,Girl Scout Cookies phenotype,caryophyllene,mint|sweet|earthy|cookie,mint|sweet|earthy,caryophyllene|limonene|humulene,thc,typically high THC,dense,United States,"A minty, cookie-sweet GSC phenotype with frosty coverage.",leafly|wikileaf,0.85
platinum gsc,Platinum GSC,platinum cookies|platinum girl scout cookies,hybrid,Girl Scout Cookies phenotype,caryophyllene,sweet|earthy|spice|berry,sweet|earthy|spice,caryophyllene|limonene|humulene,thc,typically high THC,frosty,United States,"A frosty, platinum-hued GSC phenotype with sweet, earthy, spicy notes.",leafly|allbud,0.82
sunset sherbet,Sunset Sherbet,sherbet|sherbert|sunset sherbert,hybrid,Girl Scout Cookies x Pink Panties,caryophyllene,sweet|berry|citrus|creamy,sweet|berry|creamy,caryophyllene|limonene|linalool,thc,typically high THC,dense,United States,"A creamy, fruity GSC descendant with sweet berry and citrus notes; parent of Gelato.",leafly|wikileaf,0.88
gelato 33,Gelato 33,gelato #33|gelato33|larry bird|gelato 33 larry bird,hybrid,Sunset Sherbet x Thin Mint GSC,caryophyllene,sweet|creamy|citrus|berry,sweet|creamy|berry,caryophyllene|limonene|linalool,thc,typically high THC,dense,United States,The famous Gelato #33 cut: dessert-sweet and creamy with citrus and berry.,leafly|wikileaf,0.88
mochi,Mochi,mochi gelato|gelato 47|gelato #47,hybrid,Sunset Sherbet x Thin Mint GSC,caryophyllene,sweet|mint|fruity|creamy,sweet|mint|creamy,caryophyllene|limonene|linalool,thc,typically high THC,dense,United States,A Gelato-family cut (a.k.a. Mochi Gelato / Gelato 47) with sweet mint and fruit.,leafly|seedfinder,0.8
wedding crasher,Wedding Crasher,,hybrid,Wedding Cake x Purple Punch,caryophyllene,grape|sweet|vanilla|earthy,grape|sweet|vanilla,caryophyllene|limonene|linalool,thc,typically high THC,dense,United States,"A sweet, grape-and-vanilla hybrid pairing Wedding Cake with Purple Punch.",leafly|wikileaf,0.85
cereal milk,Cereal Milk,cereal milk cookies,hybrid,Y Life (GSC x Cherry Pie) x Snowman,limonene,sweet|creamy|fruity|milky,sweet|creamy|fruity,limonene|caryophyllene|linalool,thc,typically high THC,dense,United States,"A creamy, sweet Cookies-family cut reminiscent of sugary cereal milk.",leafly|seedfinder,0.8
jealousy,Jealousy,,hybrid,Gelato 41 x Sherbet Bx1,caryophyllene,sweet|creamy|fruity|earthy,sweet|creamy|fruity,caryophyllene|limonene|linalool,thc,typically very high THC,dense,United States,"A sweet, creamy, fruity modern Cookies/Gelato cut with a gassy finish.",leafly|seedfinder,0.8
animal mints,Animal Mints,animal mint,hybrid,Animal Cookies x SinMint Cookies,caryophyllene,mint|cookie|earthy|sweet,mint|cookie|earthy,caryophyllene|limonene|humulene,thc,typically very high THC,frosty,United States,"A minty, cookie-sweet hybrid with dense, frosty buds.",leafly|seedfinder,0.82
white runtz,White Runtz,white runts,hybrid,Gelato x Zkittlez,limonene,sweet|candy|fruity|creamy,sweet|candy|fruity,limonene|caryophyllene|linalool,thc,typically very high THC,frosty,United States,"A frosty, candy-sweet Runtz phenotype with fruity, creamy notes.",leafly|wikileaf,0.82
pink runtz,Pink Runtz,pink runts,hybrid,Runtz phenotype,limonene,sweet|candy|fruity|berry,sweet|candy|berry,limonene|caryophyllene|linalool,thc,typically high THC,dense,United States,"A candy-sweet, fruity-berry Runtz phenotype.",leafly|seedfinder,0.8
lemon cherry gelato,Lemon Cherry Gelato,lcg|lemon cherry|lemon cherry gelato 41,hybrid,Sunset Sherbet x GSC x undisclosed,limonene,lemon|cherry|sweet|creamy,lemon|cherry|creamy,limonene|caryophyllene|linalool,thc,typically very high THC,dense,United States,A citrus-and-cherry Gelato-family cut with creamy sweetness; lineage partly undisclosed.,leafly|seedfinder,0.78
mendocino purps,Mendocino Purps,mendo purps|the purps,indica,California cut (clone-only),myrcene,grape|earthy|sweet|coffee,grape|earthy|sweet,myrcene|caryophyllene|pinene,thc,typically high THC,dense,"California, United States",A foundational purple cut behind many West Coast grape strains.,leafly|seedfinder,0.8
amnesia haze,Amnesia Haze,amnesia,sativa,Haze x Afghani/Hawaiian lineage,terpinolene,citrus|lemon|earthy|spicy,citrus|lemon|earthy,terpinolene|limonene|caryophyllene,thc,typically high THC,fluffy,Netherlands,"A bright, citrus-lemon haze with earthy spice; a coffeeshop classic.",leafly|wikileaf,0.85
cinex,Cinex,cinex sativa,sativa,Cinderella 99 x Vortex,terpinolene,citrus|floral|sweet|earthy,citrus|floral|sweet,terpinolene|limonene|ocimene,thc,typically high THC,dense,United States,A bright citrus-floral sativa crossing Cinderella 99 and Vortex.,leafly|seedfinder,0.8
cinderella 99,Cinderella 99,cindy 99|c99|cinderella|cindy,sativa,Jack Herer x Shiva Skunk,limonene,pineapple|citrus|sweet|tropical,pineapple|citrus|sweet,limonene|caryophyllene|ocimene,thc,typically high THC,dense,United States,"A tropical, pineapple-citrus sativa (a.k.a. Cindy 99 / C99).",leafly|wikileaf,0.82
agent orange,Agent Orange,,hybrid,Orange Velvet x Jack the Ripper,terpinolene,orange|citrus|sweet|earthy,orange|citrus|sweet,terpinolene|limonene|myrcene,thc,typically high THC,dense,United States,A citrus-orange hybrid with sweet and earthy notes.,leafly|seedfinder,0.8
ghost train haze,Ghost Train Haze,gth|ghost train,sativa,Ghost OG x Neville's Wreck,terpinolene,citrus|floral|pine|sour,citrus|floral|sour,terpinolene|limonene|caryophyllene,thc,typically very high THC,frosty,United States,A potent citrus-floral haze with sour-pine notes and heavy resin.,leafly|wikileaf,0.82
mango kush,Mango Kush,mango kush indica,indica,Mango x Hindu Kush,myrcene,mango|tropical|sweet|earthy,mango|tropical|sweet,myrcene|caryophyllene|pinene,thc,typically high THC,dense,United States,A tropical indica with sweet mango over an earthy-kush base.,leafly|wikileaf,0.82
papaya,Papaya,papaya kush|wifi papaya,indica,Citral #13 x Ice #2,myrcene,papaya|tropical|sweet|mango,papaya|tropical|sweet,myrcene|caryophyllene|pinene,thc,typically high THC,dense,United States,A tropical indica with sweet papaya and mango notes.,leafly|seedfinder,0.8
clementine,Clementine,,sativa,Tangie x Lemon Skunk,terpinolene,orange|citrus|sweet|earthy,orange|citrus|sweet,terpinolene|limonene|myrcene,thc,typically high THC,dense,United States,"A bright orange-citrus sativa with sweet, earthy undertones.",leafly|wikileaf,0.82
orange cookies,Orange Cookies,,hybrid,Orange Juice x Girl Scout Cookies,limonene,orange|citrus|sweet|cookie,orange|citrus|sweet,limonene|caryophyllene|humulene,thc,typically high THC,dense,United States,A sweet orange-citrus Cookies cross.,leafly|seedfinder,0.8
pineapple chunk,Pineapple Chunk,,indica,Pineapple x Skunk #1 x Cheese,myrcene,pineapple|cheese|earthy|sweet,pineapple|cheese|earthy,myrcene|caryophyllene|pinene,thc,typically high THC,dense,United States,A pineapple-and-cheese indica with an earthy backbone.,leafly|seedfinder,0.78
tahoe og,Tahoe OG,tahoe og kush,hybrid,OG Kush phenotype,myrcene,lemon|earthy|pine|fuel,lemon|earthy|fuel,myrcene|limonene|caryophyllene,thc,typically high THC,dense,"California, United States","A heavy OG Kush cut with lemon, earthy-pine, and fuel notes.",leafly|wikileaf,0.82
ghost og,Ghost OG,,hybrid,OG Kush phenotype,limonene,lemon|pine|earthy|fuel,lemon|pine|earthy,limonene|myrcene|caryophyllene,thc,typically high THC,dense,United States,"A bright, lemony OG Kush cut behind Ghost Train Haze.",leafly|seedfinder,0.8
skywalker og,Skywalker OG,skywalker og kush,indica,Skywalker x OG Kush,myrcene,earthy|pine|fuel|spicy,earthy|pine|fuel,myrcene|limonene|caryophyllene,thc,typically very high THC,dense,United States,"A heavy, earthy-fuel OG indica with peppery spice.",leafly|wikileaf,0.85
death star,Death Star,deathstar,indica,Sensi Star x Sour Diesel,caryophyllene,diesel|earthy|skunky|sweet,diesel|earthy|sweet,caryophyllene|myrcene|limonene,thc,typically high THC,dense,"Ohio, United States",A diesel-and-earth indica crossing Sensi Star with Sour Diesel.,leafly|wikileaf,0.82
cookies and cream,Cookies and Cream,cookies n cream|cookies & cream,hybrid,Starfighter x GSC phenotype,caryophyllene,sweet|vanilla|nutty|earthy,vanilla|sweet|nutty,caryophyllene|limonene|humulene,thc,typically high THC,dense,United States,"A sweet, vanilla-and-nutty Cookies hybrid.",leafly|wikileaf,0.82
banana og,Banana OG,,indica,Banana x OG Kush,limonene,banana|sweet|earthy|tropical,banana|sweet|earthy,limonene|myrcene|caryophyllene,thc,typically very high THC,dense,United States,A sweet banana-and-earth OG indica.,leafly|wikileaf,0.8
nyc diesel,NYC Diesel,nyc d|new york city diesel|nyc sour diesel,sativa,Mexican x Afghani (Soma cut),myrcene,diesel|lime|grapefruit|earthy,diesel|grapefruit|lime,myrcene|limonene|caryophyllene,thc,typically high THC,dense,"New York, United States",A citrus-forward diesel sativa with grapefruit and lime over a fuel base.,leafly|wikileaf,0.82
chemdawg 91,Chemdawg 91,chem 91|chemdog 91|chemdawg 91,hybrid,Chemdog phenotype,caryophyllene,diesel|pungent|earthy|pine,diesel|earthy|pine,caryophyllene|myrcene|limonene,thc,typically very high THC,dense,United States,"A loud, diesel Chemdog cut (a.k.a. Chem 91).",leafly|seedfinder,0.8
jet fuel,Jet Fuel,g6|jet fuel g6,sativa,Aspen OG x High Country Diesel,caryophyllene,diesel|pungent|earthy|sweet,diesel|earthy|sweet,caryophyllene|myrcene|limonene,thc,typically high THC,dense,United States,"A gassy, diesel-forward sativa (a.k.a. G6).",leafly|wikileaf,0.8
skunk #1,Skunk #1,skunk no 1|skunk 1|skunk one,hybrid,Afghani x Acapulco Gold x Colombian Gold,myrcene,skunky|earthy|sweet|pungent,skunk|earthy|sweet,myrcene|caryophyllene|pinene,thc,typically high THC,dense,Netherlands,The foundational Skunk hybrid behind countless modern strains.,leafly|wikileaf,0.85
jack the ripper,Jack the Ripper,jtr,sativa,Jack's Cleaner x Space Queen,terpinolene,lemon|citrus|spicy|earthy,lemon|citrus|spice,terpinolene|limonene|ocimene,thc,typically high THC,dense,United States,"A lemony, spicy sativa from TGA with bright citrus.",leafly|seedfinder,0.8
jack flash,Jack Flash,jack flash sativa,sativa,Jack Herer x Super Skunk x Haze,terpinolene,citrus|spicy|earthy|sweet,citrus|spice|earthy,terpinolene|myrcene|caryophyllene,thc,typically high THC,fluffy,Netherlands,A spicy-citrus sativa in the Jack Herer family.,leafly|seedfinder,0.78
wedding pie,Wedding Pie,,hybrid,Wedding Cake x Grape Pie,caryophyllene,grape|sweet|earthy|spice,grape|sweet|earthy,caryophyllene|limonene|myrcene,thc,typically high THC,dense,United States,"A grape-sweet, earthy hybrid pairing Wedding Cake with Grape Pie.",leafly|seedfinder,0.78
birthday cake,Birthday Cake,birthday cake kush|bday cake,hybrid,GSC x Cherry Pie,caryophyllene,sweet|vanilla|cookie|earthy,vanilla|sweet|cookie,caryophyllene|limonene|linalool,thc,typically high THC,dense,United States,A sweet vanilla-cake Cookies cross (a.k.a. Birthday Cake Kush).,leafly|wikileaf,0.8
london pound cake,London Pound Cake,london pound cake 75|lpc,indica,Sunset Sherbet x undisclosed,caryophyllene,berry|grape|sweet|citrus,berry|grape|sweet,caryophyllene|limonene|linalool,thc,typically high THC,dense,United States,A berry-and-grape Cookies cut with sweet citrus; partial undisclosed lineage.,leafly|seedfinder,0.76
oreoz,Oreoz,oreo cookies|oreoz cookies|oreos,hybrid,Cookies and Cream x Secret Weapon,caryophyllene,chocolate|diesel|sweet|earthy,chocolate|diesel|sweet,caryophyllene|limonene|humulene,thc,typically very high THC,frosty,United States,A chocolate-and-diesel hybrid with heavy frost (a.k.a. Oreo Cookies).,leafly|seedfinder,0.8
sundae driver,Sundae Driver,sunday driver,hybrid,Fruity Pebbles OG x Grape Pie,caryophyllene,sweet|creamy|grape|chocolate,sweet|creamy|grape,caryophyllene|limonene|linalool,thc,typically high THC,dense,United States,"A creamy, grape-and-chocolate dessert hybrid.",leafly|wikileaf,0.82
critical kush,Critical Kush,critical kush indica,indica,Critical Mass x OG Kush,myrcene,earthy|spicy|sweet|pine,earthy|spice|sweet,myrcene|caryophyllene|limonene,thc,typically high THC,dense,Netherlands,"An earthy-spicy kush indica with heavy, dense buds.",leafly|seedfinder,0.8
god's gift,God's Gift,gods gift,indica,Granddaddy Purple x OG Kush,myrcene,grape|berry|citrus|earthy,grape|berry|citrus,myrcene|caryophyllene|limonene,thc,typically high THC,dense,"California, United States",A grape-and-berry indica with citrus over an earthy base.,leafly|wikileaf,0.82
bubble gum,Bubble Gum,bubblegum|bubba gum|indiana bubblegum,hybrid,Indiana Bubblegum lineage,myrcene,bubblegum|sweet|berry|fruity,bubblegum|sweet|berry,myrcene|caryophyllene|limonene,thc,typically high THC,dense,"Indiana, United States","A sweet, true-to-name bubblegum hybrid.",leafly|wikileaf,0.8
larry og,Larry OG,lemon larry|lemon larry og|larry og kush,hybrid,OG Kush phenotype (Orange County),limonene,lemon|citrus|pine|earthy,lemon|citrus|pine,limonene|myrcene|caryophyllene,thc,typically high THC,dense,"California, United States","A bright, lemon-citrus OG cut (a.k.a. Lemon Larry OG).",leafly|wikileaf,0.8
gary payton,Gary Payton,gp|gary payton cookies,hybrid,The Y x Snowman,caryophyllene,earthy|diesel|sweet|herbal,earthy|diesel|sweet,caryophyllene|limonene|humulene,thc,typically very high THC,frosty,United States,A Cookies-collab hybrid with earthy-diesel and sweet-herbal notes.,leafly|seedfinder,0.78
sour og,Sour OG,sour og kush,hybrid,Sour Diesel x OG Kush,caryophyllene,diesel|lemon|earthy|pine,diesel|lemon|earthy,caryophyllene|limonene|myrcene,thc,typically high THC,dense,United States,A diesel-and-lemon hybrid pairing Sour Diesel with OG Kush.,leafly|seedfinder,0.8
tangerine dream,Tangerine Dream,tangerine dream sativa,hybrid,G13 x Afghani x Neville's Haze,limonene,tangerine|citrus|sweet|earthy,tangerine|citrus|sweet,limonene|myrcene|caryophyllene,thc,typically high THC,dense,Netherlands,A sweet tangerine-citrus hybrid from Barney's Farm.,leafly|wikileaf,0.8
sensi star,Sensi Star,,indica,Afghani lineage,myrcene,earthy|citrus|metallic|sweet,earthy|citrus|sweet,myrcene|caryophyllene|limonene,thc,typically high THC,dense,Netherlands,"A potent, frosty indica with earthy-citrus notes; multiple Cup wins.",leafly|wikileaf,0.8
hash plant,Hash Plant,hashplant,indica,Northern Lights #1 x Afghani,myrcene,earthy|hash|spicy|sweet,earthy|hash|spice,myrcene|caryophyllene|pinene,thc,typically high THC,dense,Netherlands,"A resinous, hash-forward indica with earthy spice.",leafly|seedfinder,0.78
g13,G13,g-13|g 13,indica,clone-only (origin disputed),myrcene,earthy|pine|sweet|fruity,earthy|pine|sweet,myrcene|caryophyllene|limonene,thc,typically high THC,dense,United States,"A legendary, mythologized indica cut with earthy-pine and sweet notes.",leafly|wikileaf,0.72
headcheese,Headcheese,head cheese,hybrid,Headband x 707 Truthband,caryophyllene,cheese|diesel|earthy|sour,cheese|diesel|sour,caryophyllene|myrcene|limonene,thc,typically high THC,dense,United States,A funky cheese-and-diesel hybrid.,leafly|seedfinder,0.74
lemon og,Lemon OG,lemon og kush,hybrid,Las Vegas Lemon Skunk x The OG #18,limonene,lemon|citrus|earthy|fuel,lemon|citrus|fuel,limonene|myrcene|caryophyllene,thc,typically high THC,dense,United States,"A lemony, fuel-tinged OG hybrid.",leafly|seedfinder,0.76
pineapple,Pineapple,pineapple og,sativa,Ed Rosenthal Super Bud phenotype,myrcene,pineapple|tropical|sweet|citrus,pineapple|tropical|sweet,myrcene|limonene|pinene,thc,typically high THC,dense,United States,A tropical pineapple-forward sativa-leaning phenotype.,leafly|seedfinder,0.75
remedy,Remedy,the remedy,indica,Cannatonic x Afghan Skunk,myrcene,earthy|floral|pine|sweet,earthy|floral|sweet,myrcene|pinene|caryophyllene,cbd,high-CBD / very low THC,dense,United States,"A high-CBD, very-low-THC indica with earthy-floral, piney notes.",leafly|seedfinder,0.8
sweet and sour widow,Sweet and Sour Widow,sweet & sour widow,hybrid,high-CBD White Widow line,myrcene,earthy|sweet|sour|skunky,earthy|sweet|sour,myrcene|caryophyllene|pinene,balanced,balanced CBD:THC,dense,United States,A roughly balanced CBD:THC White Widow line with sweet-and-sour notes.,leafly|seedfinder,0.74
valentine x,Valentine X,valentinex|valentine,hybrid,ACDC phenotype,myrcene,earthy|sweet|herbal|pine,earthy|sweet|herbal,myrcene|pinene|caryophyllene,cbd,very high CBD (often ~25:1 CBD:THC),fluffy,United States,"An ACDC-derived, very-high-CBD cultivar with earthy-herbal notes.",leafly|seedfinder,0.78
suzy q,Suzy Q,suzy-q|suzyq,hybrid,high-CBD line,myrcene,earthy|herbal|sweet|woody,earthy|herbal|sweet,myrcene|pinene|caryophyllene,cbd,very high CBD / very low THC,fluffy,United States,"A very-high-CBD, very-low-THC cultivar with earthy-herbal notes.",leafly|seedfinder,0.74
critical mass cbd,Critical Mass CBD,critical cbd|critical mass cbd 1:1,indica,Critical Mass x high-CBD line,myrcene,earthy|sweet|skunky|citrus,earthy|sweet|citrus,myrcene|caryophyllene|limonene,balanced,balanced-to-high CBD,dense,Spain,A CBD-rich Critical Mass selection with earthy-sweet notes.,leafly|seedfinder,0.74
